CAN,SNo,Date,Trans Num,Trans Type,Mode,From ,UpTo,Status,Rdg.Date,Rdg.KL,KL,Mths,Debit,Credit,Balance
1,1, 01/05/2009,,WaterRevenueOpeningBalance,,,,,,,,,1.55,,1.55
1,2, 10/06/2009,8835206437,WaterBillCollection,CHQ,,,,,,,,,"748,811.00",-748809.45
1,3, 29/06/2009,8836703552,WaterBillCollection,CHQ,,,,,,,,,"1,037,083.00",-1785892.45
1,4, 23/07/2009,8838488115,WaterBillCollection,CHQ,,,,,,,,,"693,103.00",-2478995.45
1,5, 09/09/2009,8840909723,WaterBillCollection,CHQ,,,,,,,,,"699,703.00",-3178698.45
1,6, 25/09/2009,8842366086,WaterBillCollection,CHQ,,,,,,,,,"767,286.00",-3945984.45
1,7, 16/10/2009,8843672795,WaterBillCollection,CHQ,,,,,,,,,"610,605.00",-4556589.45
1,8, 23/10/2009,3001987,WaterBillDemand,,09-Apr,09-Sep,M,03-10-09,617133,96418,6,4555990.5,,-598.95
1,9, 23/10/2009,,DebitNote,,,,,,,,,598.25,,-0.7
1,10, 05/11/2009,3045333,WaterBillDemand,,09-Oct,09-Oct,M,03-11-09,633646,16513,1,780279.25,,780278.55
1,11, 30/11/2009,8847382672,WaterBillCollection,CHQ,,,,,,,,,"780,279.00",-0.45
1,12, 04/12/2009,3722517,WaterBillDemand,,09-Nov,09-Nov,M,04-12-09,647342,13696,1,647176,,647175.55
1,13, 29/12/2009,124693,WaterBillCollection,CHQ,,,,,,,,,"647,175.00",0.55
1,14, 05/01/2010,4409280,WaterBillDemand,,09-Dec,09-Dec,M,05-01-10,664197,16855,1,796438.75,,796439.3
1,15, 15/01/2010,153700,WaterBillCollection,CHQ,,,,,,,,,"796,439.00",0.3
1,16, 05/02/2010,5084395,WaterBillDemand,,10-Jan,10-Jan,M,04-02-10,680433,16236,1,767191,,767191.3
1,17, 25/02/2010,243340,WaterBillCollection,CHQ,,,,,,,,,"767,191.00",0.3
1,18, 04/03/2010,5745543,WaterBillDemand,,10-Feb,10-Feb,M,04-03-10,693090,12657,1,598083.25,,598083.55
1,19, 30/03/2010,304046,WaterBillCollection,CHQ,,,,,,,,,"598,083.00",0.55
1,20, 06/04/2010,6449612,WaterBillDemand,,10-Mar,10-Mar,M,05-04-10,709409,16319,1,771112.75,,771113.3
1,21, 28/04/2010,355152,WaterBillCollection,CHQ,,,,,,,,,"771,113.00",0.3
1,22, 04/05/2010,7081835,WaterBillDemand,,10-Apr,10-Apr,M,04-05-10,727252,17843,1,843121.75,,843122.05
1,23, 31/05/2010,412316,WaterBillCollection,CHQ,,,,,,,,,"843,122.00",0.05
1,24, 05/06/2010,7798638,WaterBillDemand,,10-May,10-May,M,05-06-10,752127,24875,1,1175383.75,,1175383.8
1,25, 01/07/2010,465720,WaterBillCollection,CHQ,,,,,,,,,"1,175,383.00",0.8
1,26, 05/07/2010,8492394,WaterBillDemand,,10-Jun,10-Jun,M,05-07-10,773711,21584,1,1019884,,1019884.8
1,27, 22/07/2010,503638,WaterBillCollection,CHQ,,,,,,,,,"1,019,884.00",0.8
1,28, 04/08/2010,9164042,WaterBillDemand,,10-Jul,10-Jul,M,04-08-10,791534,17823,1,842156.75,,842157.55
1,29, 31/08/2010,565832,WaterBillCollection,CHQ,,,,,,,,,"842,157.00",0.55
1,30, 06/09/2010,9965280,WaterBillDemand,,10-Aug,10-Aug,M,06-09-10,804679,13145,1,621121.25,,621121.8
1,31, 24/09/2010,606745,WaterBillCollection,CHQ,,,,,,,,,"621,121.00",0.8
1,32, 04/10/2010,10558710,WaterBillDemand,,10-Sep,10-Sep,M,04-10-10,816864,12185,1,575761.25,,575762.05
1,33, 19/10/2010,645361,WaterBillCollection,CHQ,,,,,,,,,"575,762.00",0.05
1,34, 04/11/2010,11320532,WaterBillDemand,,10-Oct,10-Oct,M,04-11-10,834000,17136,1,809696,,809696.05
1,35, 04/12/2010,12042865,WaterBillDemand,,10-Nov,10-Nov,M,04-12-10,852521,18521,1,875137.25,,1684833.3
1,36, 06/12/2010,725256,WaterBillCollection,CHQ,,,,,,,,,"809,696.00",875137.3
1,37, 29/12/2010,769781,WaterBillCollection,CHQ,,,,,,,,,"875,137.00",0.3
1,38, 04/01/2011,12751225,WaterBillDemand,,10-Dec,10-Dec,M,04-01-11,869531,17010,1,803742.5,,803742.8
1,39, 31/01/2011,821508,WaterBillCollection,CHQ,,,,,,,,,"803,742.00",0.8
1,40, 07/02/2011,13597289,WaterBillDemand,,11-Jan,11-Jan,M,07-02-11,884958,15427,1,728945.75,,728946.55
1,41, 28/02/2011,864860,WaterBillCollection,CHQ,,,,,,,,,"728,946.00",0.55
1,42, 08/03/2011,14361980,WaterBillDemand,,11-Feb,11-Feb,M,07-03-11,900044,15086,1,712833.5,,712834.05
1,43, 31/03/2011,914631,WaterBillCollection,CHQ,,,,,,,,,"712,834.00",0.05
1,44, 06/04/2011,15002580,WaterBillDemand,,11-Mar,11-Mar,M,05-04-11,916279,16235,1,767123.75,,767123.8
1,45, 30/04/2011,962897,WaterBillCollection,CHQ,,,,,,,,,"767,123.00",0.8
1,46, 05/05/2011,15727306,WaterBillDemand,,11-Apr,11-Apr,M,05-05-11,933637,17358,1,820185.5,,820186.3
1,47, 20/05/2011,994754,WaterBillCollection,CHQ,,,,,,,,,"820,186.00",0.3
1,48, 06/06/2011,16497082,WaterBillDemand,,11-May,11-May,M,06-06-11,954339,20702,1,978189.5,,978189.8
1,49, 25/06/2011,1054970,WaterBillCollection,CHQ,,,,,,,,,"978,189.00",0.8
1,50, 07/07/2011,17267342,WaterBillDemand,,11-Jun,11-Jun,M,06-07-11,975590,21251,1,1004129.75,,1004130.55
1,51, 27/07/2011,1109399,WaterBillCollection,CHQ,,,,,,,,,"1,004,130.00",0.55
1,52, 05/08/2011,17959099,WaterBillDemand,,11-Jul,11-Jul,M,05-08-11,992205,16615,1,785078.75,,785079.3
1,53, 27/08/2011,1157731,WaterBillCollection,CHQ,,,,,,,,,"785,079.00",0.3
1,54, 06/09/2011,18717465,WaterBillDemand,,11-Aug,11-Aug,M,06-09-11,1008341,16136,1,762446,,762446.3
1,55, 24/09/2011,1196559,WaterBillCollection,CHQ,,,,,,,,,"762,446.00",0.3
